GROUP,Image1,Image2,Image3,Image4,CorrectAnswer,Target,G_Target,Condition,Target AOI,Competitor AOI,NovelDistractor,ExistingDistrator,TargetOnset
3,EDparrot.bmp,lorry.bmp,ND_107.bmp,lolly.bmp,2,lorry.wav,3_lorry.wav,DisplayedCohort,2,4,3,1,367
4,EDparrot.bmp,lorry.bmp,ND_107.bmp,paddle.bmp,2,lorry.wav,4_lorry.wav,AbsentCohort,2,4,3,1,367
7,EDparrot.bmp,lorry.bmp,ND_107.bmp,lolly.bmp,2,lorry.wav,7_lorry.wav,DisplayedCohort,2,4,3,1,367
8,EDparrot.bmp,lorry.bmp,ND_107.bmp,paddle.bmp,2,lorry.wav,8_lorry.wav,AbsentCohort,2,4,3,1,367
1,EDladybird.bmp,ND_114.bmp,medal.bmp,catalogue.bmp,3,medal.wav,1_medal.wav,AbsentCohort,3,4,2,1,384
2,EDladybird.bmp,ND_114.bmp,medal.bmp,metal.bmp,3,medal.wav,2_medal.wav,DisplayedCohort,3,4,2,1,384
5,EDladybird.bmp,ND_114.bmp,medal.bmp,catalogue.bmp,3,medal.wav,5_medal.wav,AbsentCohort,3,4,2,1,384
6,EDladybird.bmp,ND_114.bmp,medal.bmp,metal.bmp,3,medal.wav,6_medal.wav,DisplayedCohort,3,4,2,1,384
3,EDladybird.bmp,ND_114.bmp,metal.bmp,caterpillar.bmp,3,metal.wav,3_metal.wav,AbsentCohort,3,4,2,1,394
4,EDladybird.bmp,ND_114.bmp,metal.bmp,medal.bmp,3,metal.wav,4_metal.wav,DisplayedCohort,3,4,2,1,394
7,EDladybird.bmp,ND_114.bmp,metal.bmp,caterpillar.bmp,3,metal.wav,7_metal.wav,AbsentCohort,3,4,2,1,394
8,EDladybird.bmp,ND_114.bmp,metal.bmp,medal.bmp,3,metal.wav,8_metal.wav,DisplayedCohort,3,4,2,1,394
1,monkey.bmp,EDhill.bmp,money.bmp,ND_106.bmp,3,money.wav,1_money.wav,DisplayedCohort,3,1,4,2,468
2,bacon.bmp,EDhill.bmp,money.bmp,ND_106.bmp,3,money.wav,2_money.wav,AbsentCohort,3,1,4,2,468
5,monkey.bmp,EDhill.bmp,money.bmp,ND_106.bmp,3,money.wav,5_money.wav,DisplayedCohort,3,1,4,2,468
6,bacon.bmp,EDhill.bmp,money.bmp,ND_106.bmp,3,money.wav,6_money.wav,AbsentCohort,3,1,4,2,468
3,money.bmp,EDhill.bmp,monkey.bmp,ND_106.bmp,3,monkey.wav,3_monkey.wav,DisplayedCohort,3,1,4,2,453
4,baker.bmp,EDhill.bmp,monkey.bmp,ND_106.bmp,3,monkey.wav,4_monkey.wav,AbsentCohort,3,1,4,2,453
